Now Timestamp,API Timestamp,AQI,PM10
2024-05-27T20:05:01.200441,2024-05-28T01:00:00+07:00,77,77
2024-05-27T20:10:00.828142,2024-05-28T01:00:00+07:00,77,77
2024-05-27T20:15:01.360991,2024-05-28T01:00:00+07:00,77,77
2024-05-27T20:20:00.931860,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:25:00.473495,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:30:01.070459,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:35:00.692147,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:40:01.285773,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:45:00.877692,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:50:00.478408,2024-05-28T02:00:00+07:00,65,65
2024-05-27T20:55:01.088355,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:00:00.666450,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:05:01.320682,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:10:00.872200,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:15:00.433909,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:20:00.995693,2024-05-28T02:00:00+07:00,65,65
2024-05-27T21:25:00.578307,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:30:01.509135,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:35:01.147890,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:40:00.742603,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:45:01.330987,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:50:00.898720,2024-05-28T03:00:00+07:00,70,70
2024-05-27T21:55:00.471262,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:00:01.110901,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:05:00.719642,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:10:01.302862,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:15:00.888764,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:20:00.434123,2024-05-28T03:00:00+07:00,70,70
2024-05-27T22:25:00.967832,2024-05-28T04:00:00+07:00,103,103
2024-05-27T22:30:00.614273,2024-05-28T04:00:00+07:00,103,103
2024-05-27T22:35:01.188285,2024-05-28T04:00:00+07:00,103,103
2024-05-27T22:40:00.803146,2024-05-28T04:00:00+07:00,103,103
